TF	Ligand(Target)	Receptor	Source
421	AR	GNAS	ADCY1	CellTalk
422	AR	GNAS	PTGDR	CellTalk
423	AR	GNAS	VIPR1	CellTalk
424	AR	GNAS	ADRB3	CellTalk
425	AR	GNAS	AVPR2	CellTalk
426	AR	GNAS	ADORA1	CellTalk
427	AR	SLIT1	ROBO1	CellTalk
428	AR	SLIT1	FLRT3	CellTalk
429	AR	SLIT1	GPC1	CellTalk
430	AR	IL20RA	IL20RB	CellChat
431	AR	IL20RA	IL20RB	CellChat
432	AR	IL20RA	IL10RB	CellChat
433	AR	FGF18	FGFR2	CellTalk
434	AR	FGF18	FGFR4	CellTalk
435	AR	FGF18	FGFR1	CellTalk
436	AR	FGF18	FGFR3	CellTalk
437	AR	LAMA1	ITGA6	CellTalk
438	AR	LAMA1	ITGA7	CellTalk
439	AR	LAMA1	ITGB1	CellTalk
440	AR	LAMA1	ITGA3	CellTalk
441	AR	LAMA1	ITGB4	CellTalk
442	AR	LAMA1	ITGB8	CellTalk
443	AR	LAMA1	NT5E	CellTalk
444	AR	LAMA1	GPC1	CellTalk
445	AR	LAMA1	ITGA1	CellTalk
446	AR	LAMA1	ITGA2	CellTalk
447	AR	LAMA1	SDC2	CellTalk
448	AR	LAMA1	RPSA	CellTalk
449	AR	LAMA1	SDC4	CellTalk
450	AR	LAMA1	TMPRSS6	CellTalk
451	AR	NTNG1	LRRC4C	CellTalk
452	AR	PTHLH	ADCYAP1R1	CellTalk
453	AR	PTHLH	GPR84	CellTalk
454	AR	PTHLH	RAMP3	CellTalk
455	AR	PTHLH	RAMP2	CellTalk
456	AR	PTHLH	PTH2R	CellTalk
457	AR	PTHLH	ADRB2	CellTalk
458	AR	PTHLH	PTH1R	CellTalk
459	AR	PTHLH	VIPR1	CellTalk
460	AR	PTHLH	ADRB3	CellTalk
461	AR	PTHLH	GPR20	CellTalk
462	AR	PTHLH	TSHR	CellTalk
463	AR	ADAMTS3	CCBE1	CellTalk
464	AR	WNT7B	FZD4	CellTalk
465	AR	WNT7B	TMED5	CellTalk
466	AR	WNT7B	FZD10	CellTalk
467	AR	WNT7B	FZD1	CellTalk
468	AR	WNT7B	LRP5	CellTalk
469	AR	NXPH1	NRXN1	CellTalk
470	AR	NXPH1	NRXN3	CellTalk
471	AR	NXPH1	NRXN2	CellTalk
472	AR	NRG3	ERBB3	CellTalk
473	AR	NRG3	ERBB2	CellTalk
474	AR	NRG3	ERBB4	CellTalk
475	AR	FBN1	ITGB3	CellTalk
476	AR	FBN1	ITGB1	CellTalk
477	AR	FBN1	ITGAV	CellTalk
478	AR	FBN1	ITGB6	CellTalk
479	AR	FBN1	ITGA5	CellTalk
480	AR	IGF2	IGF1R	CellTalk
481	AR	IGF2	INSR	CellTalk
482	AR	IGF2	IGF2R	CellTalk
483	AR	NPTX1	NPTXR	CellTalk
484	AR	FGF9	FGFR2	CellTalk
485	AR	FGF9	FGFR1	CellTalk
486	AR	FGF9	FGFR4	CellTalk
487	AR	FGF9	FGFR3	CellTalk
488	AR	WNT5A	PTK7	CellTalk
489	AR	WNT5A	LDLR	CellTalk
490	AR	WNT5A	LRP5	CellTalk
491	AR	WNT5A	EPHA7	CellTalk
492	AR	WNT5A	FZD5	CellTalk
493	AR	WNT5A	ROR1	CellTalk
494	AR	WNT5A	VANGL2	CellTalk
495	AR	WNT5A	RYK	CellTalk
